,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
7274,2,Wolfie & Luna,4,266,0,2,1,6,0,2,1,2,2,2,1,2,0,41326,b5179c9a9678878a8fd90f68dd093847,0,"Hi, I'm looking for a forever home for my two adorable kittens; Wolfie and Luna. I can't keep the both of them, unfortunately, as I have too many cats at home. They're both healthy, inquisitive, playful and they can ONLY be adopted together (I can't bear to separate them!). To all cat lovers out there, I can assure you that they will be a wonderful addition to your family! Please don't hesitate to contact me via WhatsApp if you have any further inquiries :)",c444c2936,3.0,2
7564,1,"3 Brother (Daidi, Kingking & Ince)",10,307,307,1,1,3,7,2,2,1,1,2,1,3,0,41326,9b8539c30b692a962995f6c481bcb0e2,1,"I had rescued the dogs underneath the car last year. There was total 5 of them, the reason i adopted the 3 puppies due to i saw another 2 puppies death due to accident and famine. I got no choice to let go 3 of them due to I will moved to oversea for my job purpose for long time. Both of them are adorable, loyal, smart and clean. Sincerely seek help. You can take 1 or 2 of them, not necessary 3 of them together..as long as they can find their new home.",0adebbf21,12.0,4
14386,2,Furbie And Sophie,48,285,276,3,1,5,7,2,3,1,1,1,1,2,0,41326,8b10b7a6baffdcf955d83169d6d4d98d,0,"Persian is caramel color, fat and chubby, 6 years old and male. Mainecoon + Persian is black and white with white socks, 3 plus years old and female. Both neutered. Reason up for adoption is because owner is not able to care for them due to change in career. Whatsapp for more pictures. Adoption area is in KL.",1c40fd781,2.0,2
6643,2,Along & Ucu,4,266,0,3,4,6,7,2,2,1,1,2,1,2,0,41326,710e502b7afcbc8c4be5ec633d25594c,0,DOB on 9th  9:30AM. Vaccines and dewormed on 20th March . Offspring of Gary and Nelly. Along is a male and Ucu is a female. Litter box trained. Preferably to adapt both of them as they are playmate.,7e69c99bc,4.0,1
13673,2,"Muffin, Pumpkin And Melon",2,266,0,1,1,2,7,1,1,2,2,2,1,3,0,41326,c3e16cd29166b21c5c6bea9229257714,0,"Rescued cats. All male. Mother neutered. All cats are clean, healthy, very active and playful. Feeding on Blackwood cat food. No fleas. Looking for responsible cat lover to adopt them all in one pack. Hope they will be living happily ever after ^^",eac9739c8,3.0,1
45,1,Blackie & Spotty,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,41326,5788b8639ed178795510a8cbe72ccc28,0,"These 2 adorable male puppies were dumped outside of Mayo Veterinar Clinic, Taipan USJ. They are both active, healthy and up for adoption. Only for responsible adopters who are willing to spay the dogs at special rescue rate of RM only. For adoption, please contact Rani (who works at the vet) at. Address:Mayo Veterinar Clinic, UEP Subang Jaya, 11A, Jalan USJ 10/1g, Subang Jaya, Selangor, Malaysia Tel: +",c1e816568,11.0,4
940,1,3 Stray Boy Boy (male Pupps),5,307,0,1,2,6,7,2,1,1,1,2,1,3,0,41326,2dba52e6c5b921df5df57f6d8a4baf27,0,"These 3 pitiful pupps, all are male & are rescued pupps. They are currently under well kept by a kind fosterer Damansara, Kepong! They are such a group of healthy boy, but, unfortunately, due to the skin color (where there are some tiny grey birth mark, as shown from the attached photo 1 & 2), they are still awaiting & longing for their forever home. Among the group of pupps, theres 1 (the brown color, in photo 3 )was born with an unique eye color which is hazel color & it jus perfectly match with it's fur color - which really amazes me!!! Anyway, every dog deserves a loving home & to be loved & cared, no matter how old, ill or ugly they are!!! Please, please give them a chance to have a home....",ebcdfedd2,3.0,4
10910,1,Rescued Puppy,3,307,0,3,2,0,0,1,1,2,2,2,1,6,0,41326,72b30a23d5812472311f1a452f0fe6b7,0,"A group of six puppies was rescued by my friend in Damansara Kim, it was left in a box by some silly people. The rescuer will do first vaccination for free.",10bbe5ea4,2.0,4
6452,1,Cutie,1,307,0,3,1,2,0,2,1,1,1,2,1,5,0,41326,550dcb573bf56eeb169ef17ddbf945ba,0,We rescue the whole family of 6 from the drain near Klang industrial area.,8507df043,5.0,4
3825,1,Snow Sisters,2,307,0,2,1,7,0,2,2,2,2,2,1,6,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,The snow sisters were found in a box left outside my house. It must have been an irresponsible person who did that. The puppies are still young and active and ready to seek some love and shelter,070014779,6.0,3
